Account,Date,Description,Amount,Debit,Credit,Notes
XXXXXX1111,01/01/2026,Salary Payroll,2500.0,,2500.0,Direct Deposit
XXXXXX1111,01/03/2026,Wegmans,-120.0,120.0,,Weekly Groceries
XXXXXX1111,01/05/2026,Transfer to Savings,-500.0,500.0,,Savings account funding
XXXXXX1111,01/05/2026,CC Payment,-800.0,800.0,,Credit card bill
XXXXXX1111,01/05/2026,PayPal Funding Transfer,-200.0,200.0,,Funding PayPal balance
XXXXXX1111,01/06/2026,Wawa Gas,-28.62,28.62,,Wawa visit
XXXXXX1111,01/08/2026,Wawa Store,-8.09,8.09,,Wawa visit
XXXXXX1111,01/10/2026,Giant Food,-85.0,85.0,,Weekly Groceries
XXXXXX1111,01/11/2026,Starbucks,-7.5,7.5,,Dining Out
XXXXXX1111,01/14/2026,Pizza Hut,-25.0,25.0,,Dining Out
XXXXXX1111,01/15/2026,Salary Payroll,2500.0,,2500.0,Direct Deposit
XXXXXX1111,01/17/2026,Aldi,-65.0,65.0,,Weekly Groceries
XXXXXX1111,01/18/2026,McDonald's,-12.5,12.5,,Dining Out
XXXXXX1111,01/19/2026,Wawa Store,-19.46,19.46,,Wawa visit
XXXXXX1111,01/20/2026,Wawa Store,-8.03,8.03,,Wawa visit
XXXXXX1111,01/20/2026,Pizza Hut,-25.0,25.0,,Dining Out
XXXXXX1111,01/21/2026,Wawa Gas,-29.54,29.54,,Wawa visit
XXXXXX1111,01/22/2026,Wawa Store,-19.67,19.67,,Wawa visit
XXXXXX1111,01/22/2026,Starbucks,-7.5,7.5,,Dining Out
XXXXXX1111,01/24/2026,Giant Food,-85.0,85.0,,Weekly Groceries
XXXXXX1111,01/28/2026,Wawa Store,-5.48,5.48,,Wawa visit
XXXXXX1111,01/29/2026,Wawa Gas,-30.49,30.49,,Wawa visit
XXXXXX1111,01/31/2026,Wegmans,-120.0,120.0,,Weekly Groceries
XXXXXX1111,01/31/2026,Wawa Gas,-26.08,26.08,,Wawa visit
XXXXXX1111,01/31/2026,Starbucks,-7.5,7.5,,Dining Out
XXXXXX1111,02/01/2026,Salary Payroll,2500.0,,2500.0,Direct Deposit
XXXXXX1111,02/01/2026,McDonald's,-12.5,12.5,,Dining Out
XXXXXX1111,02/05/2026,Transfer to Savings,-500.0,500.0,,Savings account funding
XXXXXX1111,02/05/2026,CC Payment,-800.0,800.0,,Credit card bill
XXXXXX1111,02/05/2026,PayPal Funding Transfer,-200.0,200.0,,Funding PayPal balance
XXXXXX1111,02/05/2026,Starbucks,-7.5,7.5,,Dining Out
XXXXXX1111,02/06/2026,Wawa Store,-16.13,16.13,,Wawa visit
XXXXXX1111,02/07/2026,Giant Food,-85.0,85.0,,Weekly Groceries
XXXXXX1111,02/07/2026,Wawa Store,-9.05,9.05,,Wawa visit
XXXXXX1111,02/10/2026,Wawa Gas,-26.42,26.42,,Wawa visit
XXXXXX1111,02/10/2026,Starbucks,-7.5,7.5,,Dining Out
XXXXXX1111,02/11/2026,Starbucks,-7.5,7.5,,Dining Out
