Date,Desc,Amount,Memo
01/01/2026,Walmart,-14.12,Retail Purchase
01/01/2026,Lyft,-22.0,Ride share
01/02/2026,Target,-15.89,Retail Purchase
01/05/2026,Payment Received - Thank You,800.0,Automatic payment
01/05/2026,CVS Pharmacy,-24.5,Medical
01/06/2026,Amazon.com,-31.35,Retail Purchase
01/07/2026,Target,-67.67,Retail Purchase
01/07/2026,Uber,-18.5,Ride share
01/10/2026,Walmart,-17.26,Retail Purchase
01/10/2026,Netflix.com,-15.99,Streaming service
01/10/2026,Spotify,-9.99,Music service
01/12/2026,Walmart,-7.52,Retail Purchase
01/15/2026,Lyft,-22.0,Ride share
01/18/2026,Amazon.com,-71.32,Retail Purchase
01/19/2026,Target,-53.31,Retail Purchase
01/22/2026,Amazon.com,-129.84,Retail Purchase
01/23/2026,Target,-44.55,Retail Purchase
01/24/2026,Target,-31.68,Retail Purchase
01/25/2026,Target,-42.37,Retail Purchase
01/26/2026,Walmart,-14.59,Retail Purchase
01/27/2026,Walmart,-39.44,Retail Purchase
01/27/2026,Uber,-18.5,Ride share
01/27/2026,CVS Pharmacy,-24.5,Medical
01/29/2026,Target,-33.97,Retail Purchase
02/01/2026,Amazon.com,-86.67,Retail Purchase
02/02/2026,Target,-29.27,Retail Purchase
02/04/2026,Target,-71.24,Retail Purchase
02/05/2026,Payment Received - Thank You,800.0,Automatic payment
02/06/2026,Amazon.com,-77.41,Retail Purchase
02/09/2026,Target,-75.35,Retail Purchase
02/10/2026,Walmart,-23.24,Retail Purchase
02/10/2026,Netflix.com,-15.99,Streaming service
02/10/2026,Spotify,-9.99,Music service
02/11/2026,Walmart,-38.12,Retail Purchase
02/13/2026,Walmart,-44.51,Retail Purchase
02/14/2026,Uber,-18.5,Ride share
02/15/2026,Amazon.com,-76.73,Retail Purchase
02/18/2026,Lyft,-22.0,Ride share
02/18/2026,CVS Pharmacy,-24.5,Medical
02/19/2026,Walmart,-17.41,Retail Purchase
02/20/2026,Walmart,-5.79,Retail Purchase
02/20/2026,Lyft,-22.0,Ride share
02/20/2026,CVS Pharmacy,-24.5,Medical
02/21/2026,Target,-46.25,Retail Purchase
02/21/2026,Lyft,-22.0,Ride share
02/23/2026,Amazon.com,-102.01,Retail Purchase
02/23/2026,Lyft,-22.0,Ride share
02/24/2026,Uber,-18.5,Ride share
02/25/2026,Target,-48.67,Retail Purchase
02/26/2026,Walmart,-32.04,Retail Purchase
02/27/2026,Amazon.com,-56.83,Retail Purchase
03/01/2026,Walmart,-15.76,Retail Purchase
03/02/2026,Walmart,-30.03,Retail Purchase
03/04/2026,Target,-36.13,Retail Purchase
03/04/2026,Uber,-18.5,Ride share
03/05/2026,Payment Received - Thank You,800.0,Automatic payment
03/05/2026,Walmart,-43.5,Retail Purchase
03/06/2026,Target,-60.89,Retail Purchase
03/08/2026,Lyft,-22.0,Ride share
03/10/2026,Netflix.com,-15.99,Streaming service
03/10/2026,Spotify,-9.99,Music service
03/14/2026,Target,-71.09,Retail Purchase
03/16/2026,Target,-49.8,Retail Purchase
03/17/2026,Lyft,-22.0,Ride share
03/18/2026,Target,-25.41,Retail Purchase
03/22/2026,Target,-29.94,Retail Purchase
03/23/2026,CVS Pharmacy,-24.5,Medical
03/26/2026,Target,-23.66,Retail Purchase
03/27/2026,Target,-20.85,Retail Purchase
03/27/2026,Lyft,-22.0,Ride share
03/30/2026,Amazon.com,-82.08,Retail Purchase
03/31/2026,Target,-64.45,Retail Purchase
04/02/2026,Target,-29.28,Retail Purchase
04/04/2026,Amazon.com,-30.65,Retail Purchase
04/05/2026,Payment Received - Thank You,800.0,Automatic payment
04/05/2026,Walmart,-12.41,Retail Purchase
04/08/2026,Amazon.com,-68.03,Retail Purchase
04/10/2026,Netflix.com,-15.99,Streaming service
04/10/2026,Spotify,-9.99,Music service
04/12/2026,Lyft,-22.0,Ride share
04/15/2026,Lyft,-22.0,Ride share
04/18/2026,Amazon.com,-111.39,Retail Purchase
04/20/2026,Target,-65.8,Retail Purchase
04/21/2026,Uber,-18.5,Ride share
04/22/2026,Amazon.com,-88.59,Retail Purchase
04/24/2026,Target,-42.54,Retail Purchase
04/25/2026,Lyft,-22.0,Ride share
04/27/2026,Amazon.com,-43.91,Retail Purchase
04/27/2026,Lyft,-22.0,Ride share
04/29/2026,Amazon.com,-141.86,Retail Purchase
04/30/2026,Walmart,-10.16,Retail Purchase
05/01/2026,Amazon.com,-82.34,Retail Purchase
05/02/2026,Walmart,-41.33,Retail Purchase
05/02/2026,CVS Pharmacy,-24.5,Medical
05/03/2026,Uber,-18.5,Ride share
05/05/2026,Payment Received - Thank You,800.0,Automatic payment
05/06/2026,Target,-65.98,Retail Purchase
05/06/2026,Lyft,-22.0,Ride share
05/07/2026,Target,-43.92,Retail Purchase
05/08/2026,Lyft,-22.0,Ride share
05/10/2026,Netflix.com,-15.99,Streaming service
05/10/2026,Spotify,-9.99,Music service
05/13/2026,Amazon.com,-17.07,Retail Purchase
05/14/2026,Target,-78.56,Retail Purchase
05/16/2026,Amazon.com,-34.16,Retail Purchase
05/17/2026,Target,-41.91,Retail Purchase
05/19/2026,Walmart,-17.56,Retail Purchase
05/25/2026,CVS Pharmacy,-24.5,Medical
05/26/2026,Target,-66.36,Retail Purchase
05/27/2026,Walmart,-30.5,Retail Purchase
05/28/2026,Amazon.com,-116.19,Retail Purchase
05/28/2026,Uber,-18.5,Ride share
05/29/2026,Amazon.com,-78.81,Retail Purchase
05/29/2026,Lyft,-22.0,Ride share
