Date,Time,TimeZone,Name,Type,Status,Currency,Gross,Fee,Net,Transaction ID
01/02/2026,18:30:00,EST,Steam Games,Express Checkout Payment,Completed,USD,-39.7,0.00,-39.7,TXN_MERCH_20260102_501
01/05/2026,10:00:00,EST,,Bank Deposit to PP Account,Completed,USD,200.00,0.00,200.00,TXN_FUND_20260105
01/11/2026,18:30:00,EST,eBay,Express Checkout Payment,Completed,USD,-58.17,0.00,-58.17,TXN_MERCH_20260111_127
01/12/2026,12:00:00,EST,Hulu,Express Checkout Payment,Completed,USD,-12.99,0.00,-12.99,TXN_SUB_20260112
01/13/2026,18:30:00,EST,eBay,Express Checkout Payment,Completed,USD,-40.24,0.00,-40.24,TXN_MERCH_20260113_955
01/16/2026,18:30:00,EST,Steam Games,Express Checkout Payment,Completed,USD,-12.5,0.00,-12.5,TXN_MERCH_20260116_466
01/18/2026,18:30:00,EST,Steam Games,Express Checkout Payment,Completed,USD,-23.47,0.00,-23.47,TXN_MERCH_20260118_448
01/20/2026,18:30:00,EST,Steam Games,Express Checkout Payment,Completed,USD,-41.25,0.00,-41.25,TXN_MERCH_20260120_885
01/23/2026,18:30:00,EST,Steam Games,Express Checkout Payment,Completed,USD,-47.14,0.00,-47.14,TXN_MERCH_20260123_632
01/24/2026,18:30:00,EST,Steam Games,Express Checkout Payment,Completed,USD,-16.09,0.00,-16.09,TXN_MERCH_20260124_659
01/25/2026,18:30:00,EST,eBay,Express Checkout Payment,Completed,USD,-61.52,0.00,-61.52,TXN_MERCH_20260125_512
01/27/2026,18:30:00,EST,eBay,Express Checkout Payment,Completed,USD,-71.37,0.00,-71.37,TXN_MERCH_20260127_924
02/04/2026,18:30:00,EST,Steam Games,Express Checkout Payment,Completed,USD,-42.81,0.00,-42.81,TXN_MERCH_20260204_844
02/05/2026,10:00:00,EST,,Bank Deposit to PP Account,Completed,USD,200.00,0.00,200.00,TXN_FUND_20260205
02/05/2026,18:30:00,EST,Steam Games,Express Checkout Payment,Completed,USD,-43.13,0.00,-43.13,TXN_MERCH_20260205_492
02/09/2026,18:30:00,EST,Steam Games,Express Checkout Payment,Completed,USD,-57.95,0.00,-57.95,TXN_MERCH_20260209_394
02/12/2026,12:00:00,EST,Hulu,Express Checkout Payment,Completed,USD,-12.99,0.00,-12.99,TXN_SUB_20260212
02/12/2026,18:30:00,EST,eBay,Express Checkout Payment,Completed,USD,-63.27,0.00,-63.27,TXN_MERCH_20260212_209
02/18/2026,18:30:00,EST,Steam Games,Express Checkout Payment,Completed,USD,-38.65,0.00,-38.65,TXN_MERCH_20260218_224
02/19/2026,18:30:00,EST,Steam Games,Express Checkout Payment,Completed,USD,-47.15,0.00,-47.15,TXN_MERCH_20260219_198
02/20/2026,18:30:00,EST,Steam Games,Express Checkout Payment,Completed,USD,-33.77,0.00,-33.77,TXN_MERCH_20260220_874
02/25/2026,18:30:00,EST,eBay,Express Checkout Payment,Completed,USD,-55.85,0.00,-55.85,TXN_MERCH_20260225_987
02/26/2026,18:30:00,EST,eBay,Express Checkout Payment,Completed,USD,-29.94,0.00,-29.94,TXN_MERCH_20260226_793
03/04/2026,18:30:00,EST,Steam Games,Express Checkout Payment,Completed,USD,-41.16,0.00,-41.16,TXN_MERCH_20260304_969
03/05/2026,10:00:00,EST,,Bank Deposit to PP Account,Completed,USD,200.00,0.00,200.00,TXN_FUND_20260305
03/09/2026,18:30:00,EST,eBay,Express Checkout Payment,Completed,USD,-49.87,0.00,-49.87,TXN_MERCH_20260309_240
03/12/2026,12:00:00,EST,Hulu,Express Checkout Payment,Completed,USD,-12.99,0.00,-12.99,TXN_SUB_20260312
03/13/2026,18:30:00,EST,Steam Games,Express Checkout Payment,Completed,USD,-32.3,0.00,-32.3,TXN_MERCH_20260313_504
03/14/2026,18:30:00,EST,eBay,Express Checkout Payment,Completed,USD,-49.62,0.00,-49.62,TXN_MERCH_20260314_211
